Question,Equation,Type
"Rob also compared the Empire Tower and the Petroleum Company Tower.If the Empire Building is number1 m high and the petroleum tower is number2 m, what is the height difference between number0?",- number2 number1,Subtraction
"Rob also matches London's eyes. London's eyes are number0 feet tall and Las Vegas is number1 feet tall.As the world's tallest Ferris wheel, how much is the eye than London?",- number1 number0,Subtraction
"Finally, Rob compared the Canadian CN Tower and Seattle's space needles.What if the CN tower is number0 m high and number1 m higher than the space needle?",- number0 number1,Subtraction
"Mike and his brother Joe found a map to the buried treasure on an unknown island, so they decided to go to treasure hunt.After the clues on the decoding map, they found that they needed to go to the mysterious island.To get there, they can take a plane at $ number0 or $ number1 at a price of $ number1.How much can they save if they go to the island by boat?",- number0 number1,Subtraction
"When they arrived at the starting point of the island, they looked at the clues and found that the number of steps they needed to take was between number0 and number1. How many steps did they take to get the next clue?",- number0 number1,Subtraction
"The map brings them to the forest and enter the cave.In order to open the cave door, they need to put weight on the switch.If the switch already has number0 pounds.The weight and the total number of required are number1 pounds.How much weight do they need to increase?",- number1 number0,Subtraction
"If the cave is number0 feet deep, and it is already number1 feet, until it reaches the end of the cave?",- number0 number1,Subtraction
"At the end of the cave, they found a golden chest.If the chest contains number0 diamonds and number1 rubies, there are more diamonds than ruby?",- number0 number1,Subtraction
"This road is a beautiful garden closed by the wall.When the number of white flowers is the same as the number of red flowers, the exit goalkeeper opens.If there are number0 white flowers and number1 red flowers, how many red flowers need?",- number0 number1,Subtraction
"If he needs to cross the bridge only number1 inches, he will lead to number0 inches crossing a number0 -inch river. If he wants to use the bridge to cross the river, how long does he need to build?",- number0 number1,Subtraction
"Opposite the river, he fell into a hole.To leave, he needs to fill it with number0 gallon of water.If the hole had number1 gallons at the beginning, how much water did he need to fill?",- number0 number1,Subtraction
"On the edge of the forest, ART hindered the road on the street.To pass, he needs to help ants collect food.If ants need number0 kinds of food, and how many grains need to be collected?",- number0 number1,Subtraction
"Charlie, an ambitious inventor, plans to make some wings to realize his dream and make the world fly.He first collected feathers.He needs number0 feathers, and he already has number1 to collect a few feathers?",- number0 number1,Subtraction
"The next wax glue on his list sticks the feathers together.If the feathers need number0 grams of wax, and now he only needs number1 grams, how many grams of wax glue?",- number0 number1,Subtraction
"Now you need to heat your wings.If the oven is at number0 degrees and the required temperature is number1 degrees, how much degree to increase?",- number1 number0,Subtraction
"When heating wings, Charlie decided to provide metal support for wings.If he needs a number0 -pound metal and he has number1 pounds of storage, how much metal do he need to buy?",- number0 number1,Subtraction
"In the end, he wanted to add color to the wing, so he decided to apply color like a rainbow.If he wants to use number0 liters of paint and number1 liters of his previous project, how much paint do he need to buy?",- number0 number1,Subtraction
"Willie Town Baker wants to be the biggest cake that they have seen in town.First, he prepared flour.He plans to use number0 pounds.flour .If he has number1 pounds.How much flour does the flour stored in his bakery still need to buy?",- number0 number1,Subtraction
"The next one on his shopping list is eggs.If he needs number0 eggs as a cake, and his friend Andrew gave him number1 more eggs?",- number0 number1,Subtraction
"To ensure that the cake is sweet, he needs number0 pounds.sugar.If he has number1 pounds.How much sugar does the sugar stored in his home?",- number0 number1,Subtraction
"As urban residents asked him to make a chocolate cake, he needed number0 pounds.cocoa powder.If the mayor has given him number1 pounds.How much do he still need?",- number0 number1,Subtraction
Willie will need number0 pounds for frosting and final touch.fresh cream.If he gets number1 pounds.How much cream do I need to buy from his farm?,- number0 number1,Subtraction
There is only one week before Christmas.John went out to buy gifts for his family.His budget was $ number0. He went to a sports shop and bought a new pair of shoes for $ number1.How much is he left?,- number0 number1,Subtraction
