Question,Numbers,Equation,Answer,group_nums,Body,Ques_Statement,Grade,Type
"Paige chose number0 flowers for a friend's wedding.She is making a bouquet, each flower is number1 flowers.If the number2 flowers before the wedding have withered, can she make a bouquet of flowers?",53.0 7.0 18.0,/ - number0 number2 number1,5,"[1, 2, 3, 14, 15, 16, 21, 22, 23, 35, 36, 37]","Paige picked number0 flowers for her friend ’ s wedding . She was making bouquets with number1 flowers in each one . If number2 of the flowers wilted before the wedding ,",how many bouquets could she still make ?,,
Mrs .I bought number0 hot dogs.The price of each hot dog is number1 cents.How much does she pay for all hot dogs?,6.0 50.0,* number0 number1,300,"[2, 3, 4, 10, 11, 12, 23, 24, 25]",Mrs. Hilt bought number0 hot dogs . Each hot dog cost number1 cents .,How much money did she pay for all of the hot dogs ?,,
Paco has number0 biscuits.Paco ate number1.How many biscuits did Paco leave?,93.0 15.0,#NAME?,78,"[1, 2, 3, 6, 7, 8, 15, 16, 17]",Paco had number0 cookies . Paco ate number1 of them .,How many cookies did Paco have left ?,,
Fred has number0 blue marble.Fred's blue marble is number1 times higher than Tim.How many blue marbles are there in Tim?,110.0 22.0,/ number0 number1,5,"[1, 2, 3, 7, 8, 9, 20, 21, 22]",Fred has number0 blue marbles . Fred has number1 times more blue marbles than Tim .,How many blue marbles does Tim have ?,,
A grain box can accommodate number0 cups of grains.Each portion is number1 cups.How many copies are there in the whole box?,18.0 2.0,/ number0 number1,9,"[3, 4, 5, 11, 12, 13, 20, 21, 22]",A cereal box holds number0 cups of cereal . Each serving is number1 cups .,How many servings are in the whole box ?,,
"Mary found number0 shells, and Keith found number1 shells on the beach.When they cleaned them, they found that the seven were broken.How many shell did they find together?",2.0 5.0 9.0,#NAME?,7,"[1, 2, 3, 6, 7, 8, 20, 21, 22, 29, 30, 31]","Mary found number0 seashells and Keith found number1 seashells on the beach . When they cleaned them , they discovered that number2 were cracked .",How many seashells did they find together ?,,
"If the interest rate is number2 %, you will pay a number1 -year loan of number1 years (USD) at a price of USD?",8100.0 1.0 15.0,* * 0.01 number0 number2,1215,"[11, 12, 13, 15, 16, 17, 22, 23, 24, 22, 23, 24]",,"How much interest , in dollars , will you pay on a number0 dollars loan for number1 year if the interest rate is number2 % ?",,
Roger has number0 blocks.number1 Eat of hippocampus.How many blocks will Roger have?,92.0 2.0,#NAME?,90,"[1, 2, 3, 4, 5, 6, 15, 16, 17]",Roger has number0 blocks . number1 are eaten by a hippopotamus .,How many blocks will Roger have ?,,
"Qiong participated in number0 football games this year.Last year, she participated in number1 football games.How many football games did Qiong participate in?",4.0 9.0,#NAME?,13,"[2, 3, 4, 11, 12, 13, 25, 26, 27]",Joan went to number0 football games this year . She went to number1 football games last year .,How many football games did Joan go to in all ?,,
"Isha (ISHA )'s pencil is number0 cubes.If she gets number1 cubic -length pencils, how much cubes do two pencils grow?",12.0 12.0,#NAME?,24,"[3, 4, 5, 14, 15, 16, 23, 24, 25]","Isha ’ s pencil is number0 cubes long . If she gets another pencil that is number1 cubes long ,",how many cubes long are both pencils ?,,
Mike has number0 baseball cards.Sam purchased number1 baseball cards in Mike.How many baseball cards do Mike now?,87.0 13.0,#NAME?,74,"[1, 2, 3, 7, 8, 9, 20, 21, 22]",Mike has number0 baseball cards . Sam bought number1 of Mike 's baseball cards .,How many baseball cards does Mike have now ?,,
"Wendy is playing video games, and she scored number0 points for each treasure she found.If she finds number1 treasures at the first level and has number2 treasures in the second level, what will her score?",5.0 4.0 3.0,* number0 + number1 number2,35,"[8, 9, 10, 19, 20, 21, 26, 27, 28, 34, 35, 36]","Wendy was playing a video game where she scores number0 points for each treasure she finds . If she found number1 treasures on the first level and number2 on the second ,",what would her score be ?,,
A pet products store has number0 bags of dog food and number1 bags of cat food.How many bags of dog food bags are better than cat food?,600.0 327.0,#NAME?,273,"[4, 5, 6, 10, 11, 12, 26, 27, 28]",A pet supply store has number0 bags of dog food and number1 bags of cat food .,How many more bags of dog food are there than cat food ?,,
Jason planted number0 watermelons and number1 radishes.Nanxi planted number2 kinds of watermelon.How many watermelons do they grow?,23.0 18.0 28.0,#NAME?,51,"[1, 2, 3, 4, 5, 6, 9, 10, 11, 18, 19, 20]",Jason grew number0 watermelons and number1 turnips . Nancy grew number2 watermelons .,How many watermelons did they grow in total ?,,
"Jessica spent $ number0 on cat toys, and a cage spent her $ number1.What is the total cost of Jessica purchased?",10.22 11.73,#NAME?,21.95,"[2, 3, 4, 14, 15, 16, 23, 24, 25]","Jessica spent $ number0 on a cat toy , and a cage cost her $ number1 .",What was the total cost of Jessica 's purchases ?,,
"There are number0 people in the Green Bay high track and field team.If the relay is number1 meters, how far must each team member must run?",5.0 150.0,/ number1 number0,30,"[1, 2, 3, 16, 17, 18, 29, 30, 31]","There are number0 people on the Green Bay High track team . If a relay race is number1 meters long ,",how far will each team member have to run ?,,
There are number0 scissors in the drawer.Keith put number1 scissors in the drawer.How many scissors are there now?,54.0 22.0,#NAME?,76,"[1, 2, 3, 9, 10, 11, 21, 22, 23]",There are number0 scissors in the drawer . Keith placed number1 scissors in the drawer .,How many scissors are now there in all ?,,
Ho Sa started from number0 bottle caps.He got number1 from Rebecca.How many bottle caps are over?,7.0 2.0,#NAME?,9,"[2, 3, 4, 8, 9, 10, 19, 20, 21]",Jose starts with number0 bottle caps . He gets number1 more from Rebecca .,How many bottle caps does Jose end with ?,,
"Fred has selected number0 lime on the farm, Alyssa chose number1 lime, and Nancy selected number2 lime and number3 pears.How many lime did you choose?",36.0 32.0 35.0 18.0,#NAME?,103,"[1, 2, 3, 6, 7, 8, 12, 13, 14, 15, 16, 17, 27, 28, 29]","Fred picked number0 limes , Alyssa picked number1 limes , and Nancy picked number2 limes and number3 pears , at the farm .",How many limes were picked in total ?,,
"In the process of visiting the orchard, Charlie selected number0 bags of gold and delicious apples, number1 bags of Macintosh apples and number2 bags of Cortland Apple.How many bags of fruit did Charlie choose?",0.16666666666666666 0.16666666666666666 0.3333333333333333,#NAME?,0.666666667,"[8, 9, 10, 15, 16, 17, 22, 23, 24, 36, 37, 38]","During a visit to an orchard , Charlie picked number0 bag of Golden Delicious apples , number1 bag of Macintosh apples , and number2 bag of Cortland apples .",How many bags of fruit did Charlie pick in total ?,,
"Bianca scored number0 points for each can of her.If she has number1 bags and does not recover number2 bags, how much will she make?",5.0 17.0 8.0,* number0 - number1 number2,45,"[1, 2, 3, 14, 15, 16, 21, 22, 23, 30, 31, 32]","Bianca earned number0 points for each bag of cans she recycled . If she had number1 bags , but did n't recycle number2 of them ,",how many points would she have earned ?,,
Rachel removed number0 bottle caps from a jar.There were number1 bottle caps in the jar.How many bottle caps are left in the jar?,47.0 87.0,#NAME?,40,"[1, 2, 3, 11, 12, 13, 25, 26, 27]",Rachel removes number0 bottle caps from a jar . There were originally number1 bottle caps in the jar .,How many bottle caps are left in the jar ?,,
Alyssa has number0 biscuits.Ina has number1.How much biscuits are more than Alyssa?,129.0 140.0,#NAME?,11,"[1, 2, 3, 6, 7, 8, 15, 16, 17]",Alyssa had number0 cookies . Aiyanna has number1 .,How many more cookies does Aiyanna have than Alyssa ?,,
"There are currently number0 oak trees in the park.Park workers had to cut off the damaged number1 oak trees.After the workers are completed, how many oak trees will there be in the park?",33.0 18.0,#NAME?,15,"[1, 2, 3, 17, 18, 19, 36, 37, 38]",There are number0 oak trees currently in the park . Park workers had to cut down number1 oak trees that were damaged .,How many oak trees will be in the park when the workers are finished ?,,
Isabel uploaded number0 pictures to Facebook.She puts number1 photos in a album and then puts the remaining number2 albums into it.How many photos are there in each album?,25.0 10.0 5.0,/ - number0 number1 number2,3,"[1, 2, 3, 8, 9, 10, 18, 19, 20, 27, 28, 29]",Isabel uploaded number0 pictures to Facebook . She put number1 pics into one album and put the rest into number2 different albums .,How many pictures were in each album ?,,
The total number of students in grades number0 in high school is number1.There are number2 girls than boys.How many boys are there?,8.0 180.0 24.0,/ - number1 number2 2.0,78,"[6, 7, 8, 12, 13, 14, 16, 17, 18, 25, 26, 27]",The total number of students in year number0 at a high school is number1 . There are number2 more girls than boys .,How many boys are there ?,,
Josh has number0 pencils.He gave Dorothy number1 pencils.How many pencils did Johns leave?,142.0 31.0,#NAME?,111,"[1, 2, 3, 6, 7, 8, 16, 17, 18]",Josh had number0 pencils . He gave number1 pencils to Dorothy .,How many pencils does Josh have left ?,,
"Mary found number0 shells, and Jessica found number1 shells on the beach.How many shell did they find together?",18.0 41.0,#NAME?,59,"[1, 2, 3, 6, 7, 8, 17, 18, 19]",Mary found number0 seashells and Jessica found number1 seashells on the beach .,How many seashells did they find together ?,,
Doros has number0 cards.She gives Harold number1.How many cards will there be?,72.0 5.0,#NAME?,67,"[1, 2, 3, 6, 7, 8, 14, 15, 16]",Dorothy has number0 cards . She gives number1 to Harold .,How many cards will Dorothy have ?,,
Michelle has number0 boxes of crayons.Each box holds number1 crayons.How many crayons are Michelle?,7.0 5.0,* number0 number1,35,"[1, 2, 3, 9, 10, 11, 16, 17, 18]",Michelle has number0 boxes of crayons . Each box holds number1 crayons .,How many crayons does Michelle have ?,,
Harry started from number0 apples.He bought number1 more.How many apples did Harry end?,79.0 5.0,#NAME?,84,"[2, 3, 4, 7, 8, 9, 15, 16, 17]",Harry starts with number0 apples . He buys number1 more .,How many apples does Harry end with ?,,
"Greg and Sharon owns nearby corn fields.Graig received number0 acres of corn on Monday, and the salon harvested number1 acres.How many acres of Graig's harvest than salon?",0.4 0.1,#NAME?,0.3,"[8, 9, 10, 17, 18, 19, 27, 28, 29]",Greg and Sharon own neighboring cornfields . Greg harvested number0 acre of corn on Monday and Sharon harvested number1 acre .,How many more acres did Greg harvest than Sharon ?,,
"Shelby's teacher provides Venus for outstanding mathematics work.Yesterday, Serbi got number0 Venus.Today, she made number1 more.How many Venus did Shelby make?",4.0 3.0,#NAME?,7,"[15, 16, 17, 23, 24, 25, 35, 36, 37]","Shelby ’ s teacher gives out gold stars for great math work . Yesterday , Shelby earned number0 gold stars . Today , she earned number1 more .",How many gold stars did Shelby earn in all ?,,
"SAM, DAN, Tom, and Keith all have number0 pocket monster cards.How many Pokemon cards do they have?",14,* 4.0 number0,56,"[9, 10, 11, 22, 23, 24]","Sam , Dan , Tom , and Keith each have number0 Pokemon cards .",How many Pokemon cards do they have in all ?,,
"Mrs .Hilder went to a concert.A total of number0 people participated in the concert.Next week, wife.Hilt participated in the second concert and number1 people participated.How many people are there in the second concert?",65899.0 119.0,#NAME?,66018,"[9, 10, 11, 29, 30, 31, 41, 42, 43]","Mrs. Hilt went to a concert . A total of number0 people attended the concert . The next week , Mrs. Hilt went to a second concert , which had number1 more people in attendance .",How many people were at the second concert ?,,
"Mike spent $ number0 in his car and spent $ number0 on the new tires.Mike wanted number2 CDs for $ number3, but decided not to do so.In total, how much does Mike spend on car parts?",118.54 106.33 3.0 4.58,#NAME?,224.87,"[6, 7, 8, 9, 11, 12, 13, 14]","For his car , Mike spent $ number0 on speakers and $ number1 on new tires . Mike wanted number2 CD 's for $ number3 but decided not to . In total ,",how much did Mike spend on car parts ?,,
Jack invited number0 friends to the party.He has number1 biscuits.How many biscuits will each friend get?,4.0 4.0,/ number0 number0,1,"[2, 3, 4, 10, 11, 12, 18, 19, 20]",Jack is inviting number0 friends to a party . He has number1 cookies .,How many cookies will each friend get ?,,
"If the price of a pair of shoes is $ number0, it is marked with number1 %. How much does it cost now?",50.0 8.0,- number0 * * number1 0.01 number0,46,"[6, 7, 8, 12, 13, 14, 19, 20, 21]","If a pair of shoes that cost number0 dollars was marked down by number1 % ,",how much do they cost now ?,,
"A treasure hunt found a buried treasure chest with number0 gems.The number1 gems are diamonds, and the rest are rubies.How many gems are rubies?",5155.0 45.0,#NAME?,5110,"[12, 13, 14, 15, 16, 17, 33, 34, 35]","A treasure hunter discovered a buried treasure chest filled with a total of number0 gems . number1 of the gems were diamonds , and the rest were rubies .",How many of the gems were rubies ?,,
