Problem,annotated_formula
a train running at a speed of number0 km / h passes an electric pole in number1 seconds . in how many seconds will the whole train pass a number2 - meter long platform ?,"/(+(*(*(number0, 0.2778), number1), number2), *(number0, 0.2778))"
a brick measures number0 cm * number1 cm * number2.number3 cm how many bricks will be required for a wall number4 m * number5 m * number6.number7 m ?,"/(/(/(*(*(*(number4, 100), *(number5, 100)), *(number6.number7, 100)), number0), number1), number2.number3)"
"a monkey ascends a greased pole number0 metres high . he ascends number1 metres in first minute and slips down number2 metre in the alternate minute . in which minute , he reaches the top ?","-(*(number1, number0), number2)"
a can do a job in number0 days and b can do it in number1 days . a and b working together will finish twice the amount of work in - - - - - - - days ?,"+(/(1, number0), /(1, number1))"
a car started running at a speed of number0 km / hr and the speed of the car was increased by number1 km / hr at the end of every hour . find the total distance covered by the car in the first number2 hours of the journey .,"/(+(+(number0, *(number1, number2)), number0), number1)"
what is the least number of square tiles required to pave the floor of a room number0 m number0 cm long and number1 m number2 cm broad ?,"/(*(+(*(number1, 100), number2), *(number0, 100)), ^(number2, 2))"
a train running at the speed of number0 km / hr crosses a pole in number1 seconds . find the length of the train ?,"*(/(*(number0, 1000), 3600), number1)"
a and b go around a circular track of length number0 m on a cycle at speeds of number1 kmph and number2 kmph . after how much time will they meet for the first time at the starting point ?,"/(number0, -(*(number2, 0.2778), *(number1, 0.2778)))"
the length of a side of a hexagon is number0 inches . what is the perimeter ?,"*(number0, *(3, 2))"
"a train number0 m long , running with a speed of number1 km / hr will pass a tree in ?","*(/(number0, *(number1, 1000)), 3600)"
a car travelling with number0 / number1 km of its actual speed covers number2 km in number3 hr number4 min number5 sec find the actual speed of the car ?,"/(*(/(number2, +(number3, /(+(*(number4, 60), number5), 3600))), number1), number0)"
"sari and ken climb up a mountain . at night , they camp together . on the day they are supposed to reach the summit , sari wakes up at 08 : 00 and starts climbing at a constant pace . ken starts climbing only at number2 : 00 , when sari is already number3 meters ahead of him . nevertheless , ken climbs at a constant pace of number4 meters per hour , and reaches the summit before sari . if sari is number5 meters behind ken when he reaches the summit , at what time did ken reach the summit ?","+(/(+(number3, number5), -(number4, /(number3, 2))), number2)"
a number0 meter long train crosses a platform in number1 seconds while it crosses a signal pole in number2 seconds . what is the length of the platform ?,"-(*(/(number0, number2), number1), number0)"
a van takes number0 hours to cover a distance of number1 km . what speed in kph should the van maintain to cover the same distance in number2 / number3 of the previous time ?,"/(number1, *(/(number2, number3), number0))"
"angelina walked number0 meters from her home to the grocery at a constant speed . she then walked number1 meters to the gym at double the speed . she spent number2 seconds less on her way from the grocery to the gym than on her way from home to the grocery . what was angelina ' s speed , in meters per second , from the grocery to the gym ?","*(/(-(number0, /(number1, 2)), number2), 2)"
"a worker makes a toy in every number0 h . if he works for number1 h , then how many toys will he make ?","/(number1, number0)"
"in one hour , a boat goes number0 km along the stream and number1 km against the stream . the speed of the boat in still water in ( km / hr ) is","/(+(number0, number1), 2)"
number0 workers work number1 hours to dig a hole number2 meters deep . how many extra workers should be hired to dig another hole number3 meters deep by working for number4 hours ?,"-(*(*(number0, /(number1, number4)), /(number3, number2)), number0)"
"if teena is driving at number0 miles per hour and is currently number1.number2 miles behind joe , who is driving at number3 miles per hour in the same direction then in how many minutes will teena be number4 miles ahead of joe ?","*(/(+(-(number0, number3), number1.number2), -(number0, number3)), 60)"
"one hour after yolanda started walking from x to y , a distance of number0 miles , bob started walking along the same road from y to x . if yolanda ' s walking rate was number1 miles per hour and bob т ' s was number2 miles per hour , how many miles had bob walked when they met ?","*(/(-(number0, number1), +(number1, number2)), number2)"
two friends decide to get together ; so they start riding bikes towards each other . they plan to meet halfway . each is riding at number0 mph . they live number1 miles apart . one of them has a pet carrier pigeon and it starts flying the instant the friends start traveling . the pigeon flies back and forth at number2 mph between the number3 friends until the friends meet . how many miles does the pigeon travel ?,"*(number2, /(/(number1, number3), number0))"
"a contractor undertakes to complete the construction of a tunnel number0 meters long in number1 days and employs number2 men for the purpose . after number3 days , he finds that only number1 meters of the tunnel is complete . how many more men should be employ in order to complete the work in time ?","-(number3, number2)"
a and b can do a piece of work in number0 days and number1 days respectively . both work for number2 days and then a goes away . find how long will b take to complete the remaining work ?,"/(-(1, +(/(number2, number1), /(number2, number0))), /(number2, number1))"
"karen places a bet with tom that she will beat tom in a car race by number0 miles even if karen starts number0 minutes late . assuming that karen drives at an average speed of number1 mph and tom drives at an average speed of number2 mph , how many h miles will tom drive before karen wins the bet ?","-(/(+(*(/(number2, number1), number0), number0), -(/(number1, number1), /(number2, number1))), number0)"
"while working alone at their respective constant rates , server p uploads number0 files in number1 hours and server y uploads number0 files in number2 hours . if all files uploaded by these servers are the same size , how long would it take the two servers , working at the same time and at their respective constant rates , to process a total of number0 files ?","/(number0, 2)"
the speed of a train is number0 kmph . what is the distance covered by it in number1 minutes ?,"*(/(number1, 60), number0)"
